Product,Production (Mn.Kg/Nuts),Exports (US Mn),Month,Year
Tea,23.3,113.5,January,2015
Rubber,10.8,2.4,January,2015
Coconut,232.5,19.2,January,2015
Tea,25.5,108.4,February,2015
Rubber,9.5,2.5,February,2015
Coconut,242.5,30.8,February,2015
Tea,30.3,113.4,March,2015
Rubber,8.6,2.4,March,2015
Coconut,240.7,32.2,March,2015
Tea,31.8,102,April,2015
Rubber,8.7,2.4,April,2015
Coconut,250,27.3,April,2015
Tea,32.2,123.6,May,2015
Rubber,6.2,2.2,May,2015
Coconut,255,32.9,May,2015
Tea,28.9,121.9,June,2015
Rubber,6.5,2.3,June,2015
Coconut,266.6,31.9,June,2015
Tea,25.8,126.5,July,2015
Rubber,6.6,1.9,July,2015
Coconut,265.1,34.3,July,2015
Tea,26,91.8,August,2015
Rubber,6.5,1.7,August,2015
Coconut,258.9,29.5,August,2015
Tea,26.9,106.3,September,2015
Rubber,6.3,2.2,September,2015
Coconut,271.1,34.6,September,2015
Tea,26.7,119.3,October,2015
Rubber,6.2,2.1,October,2015
Coconut,255.6,32.1,October,2015
Tea,25.2,108.5,November,2015
Rubber,6,1.8,November,2015
Coconut,248.4,23.3,November,2015
Tea,23.5,105.2,December,2015
Rubber,6.5,2.3,December,2015
Coconut,247.9,23.7,December,2015
Tea,25.1,99.4,January,2016
Rubber,9.5,3.5,January,2016
Coconut,246.5,24.5,January,2016
Tea,22.9,101,February,2016
Rubber,9.3,3.3,February,2016
Coconut,265.5,28.2,February,2016
Tea,22.1,112.7,March,2016
Rubber,9.4,3.2,March,2016
Coconut,270.6,35.1,March,2016
Tea,26.5,93.2,April,2016
Rubber,8.5,2.7,April,2016
Coconut,254.6,27,April,2016
Tea,30.8,90.2,May,2016
Rubber,5.8,2.5,May,2016
Coconut,253.1,27.9,May,2016
Tea,25.4,121.9,June,2016
Rubber,5.4,1.8,June,2016
Coconut,266.9,31.5,June,2016
Tea,21.3,107.8,July,2016
Rubber,5.2,1.6,July,2016
Coconut,263.9,31.8,July,2016
Tea,23.26,108.9,August,2016
Rubber,5.45,2.3,August,2016
Coconut,258.47,32.3,August,2016
Tea,19.8,114.9,September,2016
Rubber,5.3,2.3,September,2016
Coconut,265.9,37.2,September,2016
Tea,18.6,108.1,October,2016
Rubber,5.1,3,October,2016
