Month,Product,Production (Mn.Kg/Nuts),Exports (US Mn)
Jan-15,Tea,23.3,113.5
Jan-15,Rubber,10.8,2.4
Jan-15,Coconut,232.5,19.2
Feb-15,Tea,25.5,108.4
Feb-15,Rubber,9.5,2.5
Feb-15,Coconut,242.5,30.8
Mar-15,Tea,30.3,113.4
Mar-15,Rubber,8.6,2.4
Mar-15,Coconut,240.7,32.2
Apr-15,Tea,31.8,102
Apr-15,Rubber,8.7,2.4
Apr-15,Coconut,250,27.3
May-15,Tea,32.2,123.6
May-15,Rubber,6.2,2.2
May-15,Coconut,255,32.9
Jun-15,Tea,28.9,121.9
Jun-15,Rubber,6.5,2.3
Jun-15,Coconut,266.6,31.9
Jul-15,Tea,25.8,126.5
Jul-15,Rubber,6.6,1.9
Jul-15,Coconut,265.1,34.3
Aug-15,Tea,26,91.8
Aug-15,Rubber,6.5,1.7
Aug-15,Coconut,258.9,29.5
Sep-15,Tea,26.9,106.3
Sep-15,Rubber,6.3,2.2
Sep-15,Coconut,271.1,34.6
Oct-15,Tea,26.7,119.3
Oct-15,Rubber,6.2,2.1
Oct-15,Coconut,255.6,32.1
Nov-15,Tea,25.2,108.5
Nov-15,Rubber,6,1.8
Nov-15,Coconut,248.4,23.3
Dec-15,Tea,23.5,105.2
Dec-15,Rubber,6.5,2.3
Dec-15,Coconut,247.9,23.7
Jan-16,Tea,25.1,99.4
Jan-16,Rubber,9.5,3.5
Jan-16,Coconut,246.5,24.5
Feb-16,Tea,22.9,101
Feb-16,Rubber,9.3,3.3
Feb-16,Coconut,265.5,28.2
Mar-16,Tea,22.1,112.7
Mar-16,Rubber,9.4,3.2
Mar-16,Coconut,270.6,35.1
Apr-16,Tea,26.5,93.2
Apr-16,Rubber,8.5,2.7
Apr-16,Coconut,254.6,27
May-16,Tea,30.8,90.2
May-16,Rubber,5.8,2.5
May-16,Coconut,253.1,27.9
Jun-16,Tea,25.4,121.9
Jun-16,Rubber,5.4,1.8
Jun-16,Coconut,266.9,31.5
Jul-16,Tea,21.3,107.8
Jul-16,Rubber,5.2,1.6
Jul-16,Coconut,263.9,31.8
Aug-16,Tea,23.26,108.9
Aug-16,Rubber,5.45,2.3
Aug-16,Coconut,258.47,32.3
Sep-16,Tea,19.8,114.9
Sep-16,Rubber,5.3,2.3
Sep-16,Coconut,265.9,37.2
Oct-16,Tea,18.6,108.1
Oct-16,Rubber,5.1,3
Oct-16,Coconut,261.7,33
Nov-16,Tea,27.3,101.3
Nov-16,Rubber,5,3.3
Nov-16,Coconut,262.1,28.9
Dec-16,Tea,27.1,109.8
Dec-16,Rubber,5.1,3.2
Dec-16,Coconut,249,28.5
Jan-17,Tea,21.3,101.6
Jan-17,Rubber,6.5,5
Jan-17,Coconut,240.5,27.3
Feb-17,Tea,18.5,113.9
Feb-17,Rubber,8.8,5.6
Feb-17,Coconut,220.7,27.2
Mar-17,Tea,26.4,133.7
Mar-17,Rubber,8,5.8
Mar-17,Coconut,226.8,36.5
Apr-17,Tea,32.8,109.1
Apr-17,Rubber,7.5,2.6
Apr-17,Coconut,185.4,24.8
May-17,Tea,29.5,131.6
May-17,Rubber,7.6,2.9
May-17,Coconut,199.9,27.9
Jun-17,Tea,27.1,139
Jun-17,Rubber,6.6,2
Jun-17,Coconut,220.1,30
Jul-17,Tea,25.6,143.01
Jul-17,Rubber,6.27,2.15
Jul-17,Coconut,207.72,32.52
Aug-17,Tea,24.68,131.33
Aug-17,Rubber,6.86,2.61
Aug-17,Coconut,211.81,33.78
Sep-17,Tea,25.46,136.91
Sep-17,Rubber,6.86,2.9
Sep-17,Coconut,199.99,33.02
Oct-17,Tea,25.47,136.24
Oct-17,Rubber,5.53,1.79
Oct-17,Coconut,189.57,30.14
Nov-17,Tea,24.77,126.99
Nov-17,Rubber,5.26,2.32
Nov-17,Coconut,177.41,25.74
Dec-17,Tea,23.5,126.93
Dec-17,Rubber,6.26,3.26
Dec-17,Coconut,170.46,18.89
Jan-18,Tea,24.3,111.8
Jan-18,Rubber,6.7,4.1
Jan-18,Coconut,183.4,21.1
Feb-18,Tea,21.1,118.2
Feb-18,Rubber,6.9,4.1
Feb-18,Coconut,188.4,26.3
Mar-18,Tea,28.5,138.5
Mar-18,Rubber,7.2,3.7
Mar-18,Coconut,210.2,30.8
Apr-18,Tea,27.9,109.6
Apr-18,Rubber,6.3,2.3
Apr-18,Coconut,199.4,22.6
May-18,Tea,32.8,121.2
May-18,Rubber,6.5,2.3
May-18,Coconut,214.2,24.2
Jun-18,Tea,23,129.6
Jun-18,Rubber,6.6,2.2
Jun-18,Coconut,222.5,25
Jul-18,Tea,23.8,125.2
Jul-18,Rubber,6.5,1.6
Jul-18,Coconut,227.4,28.2
Aug-18,Tea,21.4,116.1
Aug-18,Rubber,6.8,2.7
Aug-18,Coconut,233.7,31.1
Sep-18,Tea,19.3,122.5
Sep-18,Rubber,7.4,2.1
Sep-18,Coconut,229.2,28.7
Oct-18,Tea,29.6,115.5
Oct-18,Rubber,6.9,2.4
Oct-18,Coconut,240.6,28.6
Nov-18,Tea,24.7,103.2
Nov-18,Rubber,7.5,2.2
Nov-18,Coconut,231.1,20.5
Dec-18,Tea,26,117.1
Dec-18,Rubber,7.3,1.9
Dec-18,Coconut,238.2,23.9
Jan-19,Tea,23.2,110.8
Jan-19,Rubber,7.3,2.8
Jan-19,Coconut,249.7,25.7
Feb-19,Tea,21.6,110.6
Feb-19,Rubber,7,2.3
Feb-19,Coconut,258.5,27.3
Mar-19,Tea,28.2,125.9
Mar-19,Rubber,7.2,3.2
Mar-19,Coconut,278.4,34.8
Apr-19,Tea,23.6,99
Apr-19,Rubber,7.2,2.5
Apr-19,Coconut,259.3,23.9
May-19,Tea,34.1,125.6
May-19,Rubber,6.5,2.4
May-19,Coconut,279.9,32.2
Jun-19,Tea,27.2,113.2
Jun-19,Rubber,6.6,1.7
Jun-19,Coconut,258.4,29.3
Jul-19,Tea,25.3,111.3
Jul-19,Rubber,6.4,1.9
Jul-19,Coconut,268.1,30.9
Aug-19,Tea,26.1,118.7
Aug-19,Rubber,5.1,1.7
Aug-19,Coconut,263.2,28.1
Sep-19,Tea,21.7,110.4
Sep-19,Rubber,5,1.5
Sep-19,Coconut,253.8,26.3
Oct-19,Tea,20.8,113.8
Oct-19,Rubber,4.8,1.2
Oct-19,Coconut,257.3,26.3
Nov-19,Tea,24,101.5
Nov-19,Rubber,4.6,1.1
Nov-19,Coconut,236,22.9
Dec-19,Tea,21.9,105.8
Dec-19,Rubber,5.6,1.8
Dec-19,Coconut,232.5,21.8
Jan-20,Tea,21.9,99.7
Jan-20,Rubber,6.8,2.7
Jan-20,Coconut,234.2,24.6
Feb-20,Tea,18.2,107.8
Feb-20,Rubber,6.6,3.1
Feb-20,Coconut,226.9,26.2
Mar-20,Tea,13.5,62.5
Mar-20,Rubber,6.2,1.4
Mar-20,Coconut,209.5,19.7
Apr-20,Tea,20.8,78.4
Apr-20,Rubber,5.7,1.6
Apr-20,Coconut,205,14.3
May-20,Tea,28.6,108.3
May-20,Rubber,6.1,1.8
May-20,Coconut,227.8,27.9
Jun-20,Tea,27.4,114.9
Jun-20,Rubber,6.1,2.9
Jun-20,Coconut,246.1,34.2
Jul-20,Tea,26.5,130.9
Jul-20,Rubber,6.4,2.9
Jul-20,Coconut,254.1,40.8
Aug-20,Tea,22.5,103
Aug-20,Rubber,6.2,1.5
Aug-20,Coconut,244.6,33.9
Sep-20,Tea,22,114
Sep-20,Rubber,6.7,2.1
Sep-20,Coconut,249.7,35.8
Oct-20,Tea,23.8,112.2
Oct-20,Rubber,6.8,2.4
Oct-20,Coconut,236.1,32.5
Nov-20,Tea,24.9,96.2
Nov-20,Rubber,7.1,3.2
Nov-20,Coconut,227.5,28.6
Dec-20,Tea,28.7,113
Dec-20,Rubber,7.4,4.6
Dec-20,Coconut,228.6,26.8
Jan-21,Tea,23,101
Jan-21,Rubber,7.7,3.9
Jan-21,Coconut,229.7,24.2
Feb-21,Tea,22.4,112.5
Feb-21,Rubber,7,2.7
Feb-21,Coconut,227.5,30.9
Mar-21,Tea,28.4,124.6
Mar-21,Rubber,7.6,5.5
Mar-21,Coconut,263.3,41.2
Apr-21,Tea,29.6,79.3
Apr-21,Rubber,7.1,3.2
Apr-21,Coconut,240.6,27.3
May-21,Tea,30.4,109.2
May-21,Rubber,6.5,2.3
May-21,Coconut,262.7,34
Jun-21,Tea,25.9,123.9
Jun-21,Rubber,7.2,2.6
Jun-21,Coconut,275.2,38.6
Jul-21,Tea,26.2,115.1
Jul-21,Rubber,6.7,3.3
Jul-21,Coconut,271.4,40.6
Aug-21,Tea,23.7,116.8
Aug-21,Rubber,6.1,3.7
Aug-21,Coconut,271.9,40.1
Sep-21,Tea,22.6,104.1
Sep-21,Rubber,5.1,5.2
Sep-21,Coconut,270,35.8
Oct-21,Tea,24,109.5
Oct-21,Rubber,5,3.2
Oct-21,Coconut,272,40.3
Nov-21,Tea,20,117.6
Nov-21,Rubber,5.1,3.3
Nov-21,Coconut,275.7,40.8
Dec-21,Tea,20.4,110.6
Dec-21,Rubber,5.4,3.2
Dec-21,Coconut,263.1,31.4
Jan-22,Tea,22.9,91.2
Jan-22,Rubber,7,5.1
Jan-22,Coconut,259.8,33.3
Feb-22,Tea,18.2,100.9
Feb-22,Rubber,5.9,4.9
Feb-22,Coconut,281.5,34.7
